id,uid,credit_card_number,credit_card_expiry_date,credit_card_type,user_id,dt_current_timestamp
7300,88859de4-f638-4ac7-aa74-f9a4bf286098,1729-8855-1369-9712,2028-10-01,discover,35726e25-8e09-45ee-afc7-7a89656bec90,2026-03-05 09:25:51
8559,ae65b43c-6179-4bc2-9a0a-7ba80c684ead,2790-4938-7333-6396,2027-12-01,discover,3d0c3354-661e-4d8c-9057-9589fdc4fd6d,2026-03-05 09:25:51
6719,0c09c928-1a4b-4086-a05e-ec9238d8cc84,3496-2781-2050-3665,2027-06-01,discover,4fcf4df2-4995-4a6f-a58d-f9fa6c49cc89,2026-03-05 09:25:51
7959,5ea5ac84-8395-4274-8890-f050089a4f58,7569-1851-2421-1552,2028-10-01,discover,bc38a57b-ef09-457d-92dc-589c3baa7b73,2026-03-05 09:25:51
2802,21f51553-447b-403c-9dbf-53911699fc85,6733-5872-2616-7726,2034-05-01,discover,179e3047-f32d-4920-bd01-108629d7b2f2,2026-03-05 09:25:51
6420,e1bc0670-be34-440a-9e77-abb36d75dc3d,8040-7548-6054-2560,2032-12-01,laser,8f38b137-b5ba-4874-8601-f38fedfae979,2026-03-05 09:25:51
7420,740416f8-f767-4515-a804-ac16512f5538,6334-5302-2105-9398,2030-03-01,visa,92993826-3a02-4c71-a5f0-c582022173f0,2026-03-05 09:25:51
7258,6360e087-a430-4731-8f17-0359c00f124e,4331-4948-7337-7531,2025-07-01,visa,9b6e5d77-df9c-4d56-860e-8b76432dcdbd,2026-03-05 09:25:51
9991,28daac23-e51a-4d50-94b6-c12aeee36d5f,3295-6509-4282-9731,2026-03-01,discover,1d8758e4-e2ae-455d-8be4-024a0936ea21,2026-03-05 09:25:51
7600,e1650790-c728-400a-a1b0-1e37a43f2c43,4811-5443-9452-9158,2034-03-01,visa,61bb05aa-22a8-465e-b6f9-ca1cd70ed271,2026-03-05 09:25:51
4549,994cea5d-a971-4d1b-bb13-492bd3952171,3471-8626-3914-6619,2034-04-01,laser,5b044e6e-0cad-4135-a32c-18d842b5f459,2026-03-05 09:25:51
3924,98757272-811f-4579-a27f-4624cb60a32e,4173-1559-1320-3139,2025-12-01,discover,be574c59-0213-4d31-ba68-339c78c0ccd1,2026-03-05 09:25:51
6799,688c2856-6799-4418-bf80-d4c14af64a0b,4248-1037-2087-1465,2030-09-01,discover,8fe7de81-06e3-46d0-97e6-5a0023b69478,2026-03-05 09:25:51
4553,0c74bfda-4263-473d-8c66-9401b7751fdf,3580-9769-6449-8233,2025-12-01,mastercard,030a18ab-4156-4003-8255-d4d9f419a60d,2026-03-05 09:25:51
1511,6678cc28-c62f-4b4c-ac90-e9dff57b9e9e,5859-9471-3467-7997,2026-01-01,diners_club,efdeb6d8-97b8-4f78-aae1-ca5d97d1beab,2026-03-05 09:25:51
3113,7da1b701-d176-4a94-b66d-c67da1d692b0,6158-1541-5670-7303,2027-08-01,laser,89dee1c9-9245-4103-83a7-d876d55162aa,2026-03-05 09:25:51
1071,fe053638-53c8-4809-a799-bd2f89b90c57,3577-3064-8523-4928,2034-01-01,laser,6b839654-91cf-491b-a680-287a73e56217,2026-03-05 09:25:51
6476,39574b74-fc69-42ac-9422-c5240c1ad22c,7122-8190-3787-1666,2028-05-01,mastercard,10437100-cb33-4024-8b96-8e6c704f092f,2026-03-05 09:25:51
9548,ab47eb48-4e64-4bff-b880-f6b98aa361d1,1367-5132-5827-2221,2028-11-01,visa,23eef11e-e99f-402f-8e2a-08dbe87dcd80,2026-03-05 09:25:51
1119,8c08f138-d3b8-40d5-8a52-97a40c202378,9845-6407-9777-1044,2026-01-01,laser,60122ab7-0774-4bf7-a96a-505d1409ea4f,2026-03-05 09:25:51
5123,fdbd223b-11a2-4900-b6fc-a5d3dcc3c7d6,5203-8214-5163-2594,2026-01-01,discover,5c1ded0c-7b90-47a5-95cd-5bd04cfd9ac2,2026-03-05 09:25:51
