id,uid,password,first_name,last_name,username,email,avatar,gender,phone_number,social_insurance_number,date_of_birth,employment,address,credit_card,subscription,dt_current_timestamp
8946,2b4dccd5-be10-402f-a9e7-aa63f144ece8,n9RSaF%i_#,Leslie,Reeves,jenna77,michaelalvarez@example.net,https://dummyimage.com/554x49,Male,001-867-219-4885x4793,331-65-7113,1975-07-02,"{'title': 'Surveyor, building control', 'key_skill': 'Teamwork'}","{'city': 'West Jaime', 'street_name': 'Miller Drives', 'street_address': '406 George Hollow', 'zip_code': '72856', 'state': 'Kentucky', 'country': 'Heard Island and McDonald Islands', 'coordinates': {'lat': -79.107107, 'lng': -135.494917}}","{'id': '8961', 'uid': '5ff499de-7417-4781-843a-03e2850f3057', 'credit_card_number': '1699-7510-7522-7247', 'credit_card_expiry_date': '2021-03-01', 'credit_card_type': 'discover', 'user_id': '2b4dccd5-be10-402f-a9e7-aa63f144ece8', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '8375', 'uid': '358dee32-0ad9-413d-90a2-7ed9fc5896bd', 'plan': 'Platinum', 'status': 'Blocked', 'payment_method': 'Money Transfer', 'subscription_term': 'Quinquennal', 'payment_term': 'Payment in Advance', 'user_id': '2b4dccd5-be10-402f-a9e7-aa63f144ece8', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
2971,18e0cec4-8fb9-410a-bea3-5a1ed590d3d5,!H71HXnb%4,Aaron,Mclaughlin,kimberlywhitaker,amy84@example.net,https://dummyimage.com/471x1012,Other,001-814-216-8827x680,787-41-3177,1931-01-16,"{'title': 'IT trainer', 'key_skill': 'Teamwork'}","{'city': 'Port Nicolefurt', 'street_name': 'Christopher Harbors', 'street_address': '64594 Ashlee Prairie Suite 361', 'zip_code': '03720', 'state': 'Utah', 'country': 'Zimbabwe', 'coordinates': {'lat': -14.8786655, 'lng': 145.859237}}","{'id': '4839', 'uid': '3184c07f-ce2f-4b1a-9e8e-48bcac6dda69', 'credit_card_number': '1626-4245-6349-8011', 'credit_card_expiry_date': '2029-05-01', 'credit_card_type': 'visa', 'user_id': '18e0cec4-8fb9-410a-bea3-5a1ed590d3d5', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '5309', 'uid': '322aef79-d196-427c-a822-b2d6a0d98c98', 'plan': 'Gold', 'status': 'Active', 'payment_method': 'Money Transfer', 'subscription_term': 'Lifetime', 'payment_term': 'Pay per Use', 'user_id': '18e0cec4-8fb9-410a-bea3-5a1ed590d3d5', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
7344,3403e293-1a72-46cc-aff3-1e2db1a7daba,s19Z+p@r#&,Lawrence,Snyder,ralphwhitaker,waltonlaura@example.com,https://picsum.photos/214/350,Female,+1-872-677-0826x4022,706-83-1924,1998-11-02,"{'title': 'Solicitor, Scotland', 'key_skill': 'Teamwork'}","{'city': 'New Jason', 'street_name': 'Smith Green', 'street_address': '01089 Kirk Islands Apt. 785', 'zip_code': '41038', 'state': 'Delaware', 'country': 'Bolivia', 'coordinates': {'lat': -10.521589, 'lng': -30.875394}}","{'id': '7642', 'uid': 'bcd8a557-656e-412a-812d-f97380fa7577', 'credit_card_number': '7864-3357-4065-9301', 'credit_card_expiry_date': '2022-09-01', 'credit_card_type': 'laser', 'user_id': '3403e293-1a72-46cc-aff3-1e2db1a7daba', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '6365', 'uid': '40246f50-7525-412f-95d6-7b6c9e5352fc', 'plan': 'Basic', 'status': 'Idle', 'payment_method': 'Bitcoins', 'subscription_term': 'Lifetime', 'payment_term': 'Payment in Advance', 'user_id': '3403e293-1a72-46cc-aff3-1e2db1a7daba', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
4266,3178ff57-5bde-4212-a3f4-2bb42f730aec,a*6$PTrrlz,David,Lang,natalieburgess,sandra76@example.net,https://dummyimage.com/32x137,Male,(363)913-5404x50739,096-83-3494,1955-03-31,"{'title': 'Manufacturing engineer', 'key_skill': 'Teamwork'}","{'city': 'Port Crystalport', 'street_name': 'Sanchez Rue', 'street_address': '0971 Shane Viaduct', 'zip_code': '26296', 'state': 'Michigan', 'country': 'Costa Rica', 'coordinates': {'lat': 48.3239505, 'lng': 73.913336}}","{'id': '2264', 'uid': '2536df7e-acf3-47e8-8112-f05dcf950a13', 'credit_card_number': '1025-2650-3902-1432', 'credit_card_expiry_date': '2023-02-01', 'credit_card_type': 'laser', 'user_id': '3178ff57-5bde-4212-a3f4-2bb42f730aec', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '4655', 'uid': '026a1318-e581-4d2b-928d-86bbaebea666', 'plan': 'Standard', 'status': 'Blocked', 'payment_method': 'Bitcoins', 'subscription_term': 'Lifetime', 'payment_term': 'Monthly Payment', 'user_id': '3178ff57-5bde-4212-a3f4-2bb42f730aec', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
8449,4682679c-ce2d-470b-ace3-a6b88e9cae85,13C4non4)U,Charlotte,Garcia,bmarshall,kristinecox@example.org,https://picsum.photos/650/392,Female,+1-516-473-4416x7836,498-28-0536,1948-07-19,"{'title': 'Forensic scientist', 'key_skill': 'Teamwork'}","{'city': 'Tinaport', 'street_name': 'May Walks', 'street_address': '374 Jose Gateway Apt. 350', 'zip_code': '36903', 'state': 'Kentucky', 'country': 'Guernsey', 'coordinates': {'lat': 17.0621145, 'lng': -123.317921}}","{'id': '4037', 'uid': 'cf36ae1f-e131-4da9-bf9f-4ec7697a7ec5', 'credit_card_number': '5323-4084-5455-7982', 'credit_card_expiry_date': '2021-09-01', 'credit_card_type': 'diners_club', 'user_id': '4682679c-ce2d-470b-ace3-a6b88e9cae85', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '6453', 'uid': '256b6d6e-19cc-444f-b220-6dbbb263313b', 'plan': 'Bronze', 'status': 'Blocked', 'payment_method': 'Google Pay', 'subscription_term': 'Lifetime', 'payment_term': 'Pay per Use', 'user_id': '4682679c-ce2d-470b-ace3-a6b88e9cae85', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
2269,ac5d3b56-a0c3-4d7a-b395-e811bfd53068,43Js5vnB(P,Keith,Roth,igamble,zlynch@example.com,https://dummyimage.com/946x906,Male,+1-939-401-1986,822-36-2703,1986-04-17,"{'title': 'Chiropractor', 'key_skill': 'Teamwork'}","{'city': 'North Robin', 'street_name': 'Mary Port', 'street_address': '5555 Wright Roads Apt. 388', 'zip_code': '59905', 'state': 'Washington', 'country': 'Jamaica', 'coordinates': {'lat': 13.20984, 'lng': 164.152599}}","{'id': '3027', 'uid': '28ce5c27-cc9d-4a14-85f0-3a49c95851e6', 'credit_card_number': '2332-7787-7116-9127', 'credit_card_expiry_date': '2028-10-01', 'credit_card_type': 'visa', 'user_id': 'ac5d3b56-a0c3-4d7a-b395-e811bfd53068', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '8503', 'uid': '92825354-269c-4597-8763-e800e0299215', 'plan': 'Standard', 'status': 'Active', 'payment_method': 'Paypal', 'subscription_term': 'Lifetime', 'payment_term': 'Pay per Use', 'user_id': 'ac5d3b56-a0c3-4d7a-b395-e811bfd53068', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
5022,d6b4a3b4-6e3e-41b2-95c7-c060c2feb2cc,8V@n&SJn*T,Anna,Woods,laurenjohnson,amyyork@example.com,https://picsum.photos/753/529,Other,405-362-0586,294-28-1915,1955-10-28,"{'title': 'Public house manager', 'key_skill': 'Teamwork'}","{'city': 'Boltonfurt', 'street_name': 'Rosales Mission', 'street_address': '42854 Kaitlin Stream Apt. 925', 'zip_code': '94385', 'state': 'Washington', 'country': 'Thailand', 'coordinates': {'lat': -87.699631, 'lng': -124.196643}}","{'id': '2740', 'uid': '77bd7919-d40f-496b-af84-4bff7ce0336a', 'credit_card_number': '9498-1879-1658-8315', 'credit_card_expiry_date': '2021-03-01', 'credit_card_type': 'mastercard', 'user_id': 'd6b4a3b4-6e3e-41b2-95c7-c060c2feb2cc', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '8797', 'uid': '0cc0ae6e-cb0e-414c-8411-6ffa34ba962c', 'plan': 'Platinum', 'status': 'Active', 'payment_method': 'Bitcoins', 'subscription_term': 'Yearly', 'payment_term': 'Payment in Advance', 'user_id': 'd6b4a3b4-6e3e-41b2-95c7-c060c2feb2cc', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
9269,de245399-512d-48b1-b454-9bb1f55217b3,Er@7faObT@,Steven,Perez,ochoacindy,ryan13@example.com,https://picsum.photos/769/918,Other,9774670756,577-85-6130,1923-03-02,"{'title': 'Programmer, multimedia', 'key_skill': 'Teamwork'}","{'city': 'New Wesley', 'street_name': 'Gregory Manors', 'street_address': '36277 Hannah Wall', 'zip_code': '64004', 'state': 'Oklahoma', 'country': 'Egypt', 'coordinates': {'lat': 58.7875365, 'lng': -52.840005}}","{'id': '7282', 'uid': 'd386d480-3397-4c37-a4b6-3231fe051591', 'credit_card_number': '6926-9670-9681-7904', 'credit_card_expiry_date': '2028-06-01', 'credit_card_type': 'mastercard', 'user_id': 'de245399-512d-48b1-b454-9bb1f55217b3', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '9942', 'uid': '266ee140-de33-47b6-a8ee-f06ccf87c82a', 'plan': 'Standard', 'status': 'Cancelled', 'payment_method': 'Paypal', 'subscription_term': 'Lifetime', 'payment_term': 'Monthly Payment', 'user_id': 'de245399-512d-48b1-b454-9bb1f55217b3', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
8434,e039023c-bb0a-4667-9c20-0d311c55dcf2,_X4V2$Bvlq,Erica,King,lisasmith,omccormick@example.org,https://dummyimage.com/952x543,Other,955-862-7838x934,799-95-5918,1964-10-10,"{'title': 'Scientist, biomedical', 'key_skill': 'Teamwork'}","{'city': 'East Brandonhaven', 'street_name': 'Bennett Pass', 'street_address': '4749 David Point Suite 745', 'zip_code': '24416', 'state': 'Florida', 'country': 'Ecuador', 'coordinates': {'lat': -4.996109, 'lng': 101.16124}}","{'id': '1974', 'uid': 'a9ae8eba-e01b-4ca1-b315-f6b90fe4fb5a', 'credit_card_number': '1652-1097-5973-1884', 'credit_card_expiry_date': '2022-03-01', 'credit_card_type': 'discover', 'user_id': 'e039023c-bb0a-4667-9c20-0d311c55dcf2', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '7525', 'uid': '882bf12f-ee4e-41b2-8d73-720557d90f35', 'plan': 'Gold', 'status': 'Cancelled', 'payment_method': 'Credit Card', 'subscription_term': 'Monthly', 'payment_term': 'Full Subscription', 'user_id': 'e039023c-bb0a-4667-9c20-0d311c55dcf2', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
5229,bece84f9-f04c-41da-b0d4-daaa1a60c109,#f@GSK5rH7,Samantha,Hamilton,michelleburton,fjohnson@example.net,https://placekitten.com/844/728,Other,(734)851-0132x5197,731-50-6134,1925-01-18,"{'title': 'Marketing executive', 'key_skill': 'Teamwork'}","{'city': 'Sheaburgh', 'street_name': 'Hannah Glens', 'street_address': '25222 Eddie Isle', 'zip_code': '64545', 'state': 'Nevada', 'country': 'South Africa', 'coordinates': {'lat': -16.4776925, 'lng': 16.208777}}","{'id': '7402', 'uid': '266783e2-c02d-4d6c-8f80-866236f2b784', 'credit_card_number': '1703-1651-7806-6068', 'credit_card_expiry_date': '2027-09-01', 'credit_card_type': 'laser', 'user_id': 'bece84f9-f04c-41da-b0d4-daaa1a60c109', 'dt_current_timestamp': '2024-01-17 17:00:20'}","{'id': '1694', 'uid': '4cf679b0-e5e5-4ba2-8c31-55f6829ce589', 'plan': 'Standard', 'status': 'Active', 'payment_method': 'Google Pay', 'subscription_term': 'Yearly', 'payment_term': 'Payment in Advance', 'user_id': 'bece84f9-f04c-41da-b0d4-daaa1a60c109', 'dt_current_timestamp': '2024-01-17 20:22:27'}",1705532678
